Category,ItemId,Plan,Super Category,Volume
Sub Category 12,Product 2739,Region 1,Category 2,27.08
Sub Category 12,Product 3999,Region 1,Category 2,2
Sub Category 12,Product 2737,Region 1,Category 2,5.08
Sub Category 12,Product 1757,Region 1,Category 2,1.48
Sub Category 12,Product 1657,Region 1,Category 2,2
Sub Category 12,Product 1648,Region 1,Category 2,17.08
Sub Category 12,Product 1679,Region 1,Category 2,500
Sub Category 12,Product 1666,Region 1,Category 2,1009.67
Sub Category 12,Product 1678,Region 1,Category 2,690.08
Sub Category 12,Product 1665,Region 1,Category 2,1210.11
Sub Category 12,Product 1672,Region 1,Category 2,6
Sub Category 12,Product 1654,Region 1,Category 2,19
Sub Category 12,Product 1663,Region 1,Category 2,522.67
Sub Category 12,Product 1664,Region 1,Category 2,320
Sub Category 12,Product 1659,Region 1,Category 2,20.5
Sub Category 12,Product 1660,Region 1,Category 2,20.5
Sub Category 12,Product 1680,Region 1,Category 2,2.67
Sub Category 12,Product 1653,Region 1,Category 2,345.33
Sub Category 12,Product 1662,Region 1,Category 2,53.33
Sub Category 12,Product 1661,Region 1,Category 2,49.33
Sub Category 12,Product 1655,Region 1,Category 2,18.67
Sub Category 12,Product 1652,Region 1,Category 2,16.67
Sub Category 12,Product 1651,Region 1,Category 2,24.67
Sub Category 12,Product 1650,Region 1,Category 2,10.67
Sub Category 12,Product 3983,Region 1,Category 2,5.33
Sub Category 13,Product 3597,Region 1,Category 2,40
Sub Category 13,Product 3143,Region 1,Category 2,3.33
Sub Category 13,Product 3176,Region 1,Category 2,2012
Sub Category 13,Product 3177,Region 1,Category 2,191
Sub Category 13,Product 3140,Region 1,Category 2,57.33
Sub Category 13,Product 3144,Region 1,Category 2,4.27
Sub Category 13,Product 7436,Region 1,Category 2,53.33
Sub Category 13,Product 2772,Region 1,Category 2,0.08
Sub Category 13,Product 2781,Region 1,Category 2,142
Sub Category 13,Product 2779,Region 1,Category 2,590.67
Sub Category 13,Product 2748,Region 1,Category 2,2.33
Sub Category 13,Product 2755,Region 1,Category 2,6.67
Sub Category 13,Product 3480,Region 1,Category 2,17.33
Sub Category 13,Product 2780,Region 1,Category 2,1305.22
Sub Category 13,Product 2750,Region 1,Category 2,58.67
Sub Category 13,Product 5586,Region 1,Category 2,12.67
Sub Category 13,Product 2754,Region 1,Category 2,438.67
Sub Category 13,Product 2773,Region 1,Category 2,20
Sub Category 13,Product 2764,Region 1,Category 2,8
Sub Category 13,Product 3530,Region 1,Category 2,49.33
Sub Category 13,Product 2752,Region 1,Category 2,41.33
Sub Category 13,Product 2753,Region 1,Category 2,16.67
Sub Category 13,Product 2774,Region 1,Category 2,0.17
Sub Category 13,Product 3738,Region 1,Category 2,6.67
Sub Category 13,Product 3279,Region 1,Category 2,75.44
Sub Category 13,Product 3644,Region 1,Category 2,133.33
Sub Category 13,Product 1219,Region 1,Category 2,68
Sub Category 13,Product 1241,Region 1,Category 2,366.67
Sub Category 13,Product 1247,Region 1,Category 2,152
Sub Category 13,Product 1266,Region 1,Category 2,81.33
Sub Category 13,Product 1231,Region 1,Category 2,8
Sub Category 13,Product 1215,Region 1,Category 2,33.33
Sub Category 13,Product 1167,Region 1,Category 2,66.67
Sub Category 13,Product 4795,Region 1,Category 2,8
Sub Category 13,Product 978,Region 1,Category 2,82.67
Sub Category 13,Product 5116,Region 1,Category 2,2.13
Sub Category 13,Product 967,Region 1,Category 2,82
Sub Category 13,Product 5798,Region 1,Category 2,2.5
Sub Category 13,Product 979,Region 1,Category 2,61.33
Sub Category 13,Product 1238,Region 1,Category 2,1080
Sub Category 13,Product 972,Region 1,Category 2,106
Sub Category 13,Product 973,Region 1,Category 2,56
Sub Category 13,Product 3795,Region 1,Category 2,243.56
Sub Category 13,Product 4172,Region 1,Category 2,10.67
Sub Category 13,Product 4173,Region 1,Category 2,5.33
Sub Category 13,Product 4174,Region 1,Category 2,12
Sub Category 13,Product 3994,Region 1,Category 2,26.67
Sub Category 13,Product 3995,Region 1,Category 2,26.67
Sub Category 13,Product 1223,Region 1,Category 2,1.33
Sub Category 13,Product 1220,Region 1,Category 2,192.22
Sub Category 13,Product 1244,Region 1,Category 2,230
